id,lot_area,house_style,overall_qual,year_built,central_air,full_bath,half_bath,bedroom_abvgr,kitchen_qual,yr_sold,saleprice
109,13517,2Story,6,1976,Y,2,1,3,Gd,2010,130500
544,11492,2Story,7,1996,Y,2,1,4,Gd,2009,220000
153,7922,1Story,5,1953,Y,1,0,3,Gd,2010,109000
318,9802,2Story,5,2006,Y,2,1,3,TA,2010,174000
255,14235,1.5Fin,6,1900,Y,2,0,3,TA,2010,138500
138,16492,1Story,6,1966,Y,2,1,2,Gd,2010,190000
2827,3675,SFoyer,6,2005,Y,2,0,2,TA,2006,140000
145,12160,1Story,5,1959,Y,1,0,3,TA,2010,142000
1942,15783,1Story,5,1952,Y,1,0,2,TA,2007,112500
1956,11606,2Story,5,1969,Y,1,2,5,Fa,2007,135000
1044,1680,2Story,6,1971,Y,1,1,2,TA,2008,85400
2752,7488,1Story,7,2005,Y,2,0,2,Gd,2006,183600
807,26400,2Story,5,1880,Y,1,0,4,TA,2009,131000
1177,2645,2Story,8,1999,Y,2,1,3,Gd,2008,200000
1480,9627,1Story,7,2007,Y,2,0,3,Gd,2008,193000
324,10114,1Story,5,2004,Y,2,0,3,Gd,2010,173500
1311,4571,2Story,5,1916,N,1,0,4,TA,2008,98000
770,8816,1Story,5,1963,Y,1,0,3,TA,2009,139000
2063,8197,1Story,6,1977,Y,1,1,3,TA,2007,143500
69,8640,2Story,7,2009,Y,2,1,3,Gd,2010,215200
2062,8724,1Story,5,1968,Y,1,0,3,TA,2007,129000
351,5664,1Story,8,2000,Y,2,0,2,Ex,2009,278000
2393,12867,2Story,8,2005,Y,2,1,3,Ex,2006,344133
12,7980,1Story,6,1992,Y,2,0,3,TA,2010,185000
2339,34650,1Story,5,1955,N,1,0,3,TA,2006,145000
624,10573,1Story,6,1961,Y,2,0,3,TA,2009,187500
86,8450,1Story,5,1965,Y,1,0,3,TA,2010,138500
1534,11700,1.5Fin,5,1937,Y,2,0,4,Gd,2008,198000
2243,8250,2Story,5,1895,N,2,0,4,TA,2007,119600
1957,8064,1.5Fin,5,1949,Y,1,0,3,TA,2007,122900
380,9600,1Story,8,1981,Y,2,1,4,Gd,2009,278000
2860,11435,2Story,8,1929,Y,1,0,3,Gd,2006,230000
2517,9549,1Story,8,1995,Y,1,1,2,Ex,2006,270000
1933,10950,1Story,6,1952,Y,1,0,2,TA,2007,125000
820,10637,1Story,8,2007,Y,2,0,3,Gd,2009,297000
675,9000,1Story,6,1958,Y,1,0,2,TA,2009,113500
2910,2665,2Story,5,1977,Y,2,0,4,TA,2006,127000
21,11751,1Story,6,1977,Y,2,0,3,TA,2010,190000
1873,9600,1Story,7,1973,Y,1,1,3,TA,2007,175500
2125,8428,1Story,5,1994,Y,1,0,3,TA,2007,146000
1489,9937,1Story,5,1965,Y,1,1,3,TA,2008,147500
2383,13891,1Story,10,2006,Y,2,1,2,Ex,2006,465000
983,9101,SFoyer,5,1978,Y,1,0,1,Gd,2009,165500
1325,12150,1.5Fin,5,1954,N,2,0,4,TA,2008,131500
1378,11200,1Story,5,1965,Y,1,0,3,TA,2008,129500
1537,9670,2Story,8,1935,Y,1,1,4,TA,2008,257076
905,10998,1.5Fin,5,1941,Y,2,0,3,TA,2009,117000
1532,7200,2Story,7,1931,Y,1,1,3,TA,2008,149000
132,9920,1Story,5,1954,Y,1,0,3,TA,2010,128000
1078,2448,2Story,7,2003,Y,2,1,2,Gd,2008,155000
2511,2998,2Story,6,2000,Y,2,1,2,Gd,2006,166000
912,7804,1.5Fin,4,1928,Y,2,0,4,Gd,2009,135000
2351,16692,2Story,7,1978,Y,3,1,5,Gd,2006,250000
330,1476,2Story,4,1970,Y,1,1,3,TA,2010,76000
2586,10170,1Story,6,1951,Y,1,1,2,Gd,2006,155000
224,9364,2Story,6,1969,Y,1,1,4,TA,2010,158000
98,2544,2Story,7,2004,Y,2,1,2,Gd,2010,149500
2565,9888,1Story,5,1954,Y,1,0,2,TA,2006,121000
1934,7942,1Story,6,1953,Y,1,0,3,TA,2007,136000
997,15038,2Story,6,1996,Y,2,1,3,TA,2008,173000
64,11764,2Story,8,1999,Y,2,1,4,Gd,2010,290000
1799,9000,2Story,8,2007,Y,2,1,4,Ex,2007,303477
230,20062,1Story,7,1977,Y,1,1,1,TA,2010,270000
1295,7308,1.5Fin,5,1920,N,1,0,2,Ex,2008,122250
638,8750,1Story,5,1955,Y,1,0,3,Gd,2009,153000
2278,8402,1Story,5,2007,Y,1,0,3,TA,2007,147000
2202,4000,2Story,7,1930,Y,1,0,2,TA,2007,148500
2833,3363,2Story,7,2004,Y,2,0,3,Gd,2006,130000
1707,13615,1Story,9,2006,Y,2,1,3,Ex,2007,372000
2428,3013,1Story,7,2005,Y,2,0,2,Gd,2006,213490
242,17485,1Story,7,2009,Y,1,0,1,Gd,2010,308030
1564,23730,1Story,7,1996,Y,3,0,3,Gd,2008,300000
2613,8910,1Story,6,1959,Y,1,0,3,TA,2006,159500
2832,2522,2Story,7,2004,Y,2,0,3,Gd,2006,137500
2459,8688,1Story,7,2005,Y,2,0,3,Gd,2006,232000
1360,6291,1Story,6,1930,Y,1,0,1,TA,2008,93850
2723,17529,1Story,5,1924,N,1,0,2,Fa,2006,105000
1350,6324,1Story,4,1927,N,1,0,1,Fa,2008,68500
136,11600,2Story,5,1960,Y,2,0,5,TA,2010,154300
2235,7288,1.5Fin,5,1925,Y,2,0,3,TA,2007,129850
1993,4571,2Story,5,1910,Y,1,0,3,TA,2007,114000
367,17423,1Story,9,2008,Y,2,0,1,Ex,2009,501837
1309,12665,1.5Fin,5,1915,Y,1,1,4,TA,2008,153900
402,9000,1Story,4,1971,Y,1,0,3,TA,2009,130000
1592,4500,1Story,6,1997,Y,2,0,2,TA,2008,160500
2409,6373,1Story,9,2006,Y,2,0,2,Gd,2006,310090
539,10083,1Story,7,2003,Y,2,0,2,Gd,2009,184900
1940,13300,1Story,5,1956,Y,1,0,2,TA,2007,132000
588,9600,1Story,5,1969,Y,2,0,3,TA,2009,163000
96,3215,2Story,7,2004,Y,2,1,2,Gd,2010,155000
1187,11104,SLvl,6,1969,Y,2,0,4,TA,2008,183000
2154,15295,2Story,7,1996,Y,2,1,3,Gd,2007,211000
550,9109,2Story,7,1994,Y,2,1,3,Gd,2009,184000
811,7018,1Story,5,1979,Y,2,0,4,TA,2009,118858
124,14112,SLvl,5,1964,Y,1,0,3,TA,2010,180500
1836,3523,1Story,8,2006,Y,2,0,2,Gd,2007,166000
779,15312,SLvl,6,1960,Y,1,0,3,TA,2009,148000
1886,7450,1Story,5,1956,Y,1,0,2,Gd,2007,124000
1724,7313,1Story,9,2005,Y,2,0,2,Ex,2007,277500
2450,10019,2Story,8,1995,Y,2,1,4,Gd,2006,350000
1013,15401,1Story,9,2004,Y,2,0,2,Ex,2008,387000
2084,9098,1Story,4,1920,Y,1,0,2,TA,2007,86000
1184,16280,1Story,8,1976,Y,3,0,3,Ex,2008,290000
728,9392,1Story,3,1900,N,1,0,2,TA,2009,44000
950,12209,2Story,6,2001,Y,2,1,3,Gd,2009,215000
2524,13110,1Story,5,1972,Y,2,0,2,TA,2006,146500
2513,2651,2Story,7,2000,Y,2,1,3,Gd,2006,165000
2028,8520,1.5Fin,6,1916,N,2,0,5,Gd,2007,136000
2309,39384,1Story,6,1957,Y,1,1,1,Ex,2006,252000
51,2628,2Story,7,2003,Y,2,1,2,Gd,2010,175500
699,6406,2Story,5,1939,Y,1,1,3,TA,2009,150000
1881,12342,1Story,5,1960,Y,1,0,3,TA,2007,139900
1345,6240,1.5Fin,5,1930,Y,2,0,3,TA,2008,162900
166,10000,1Story,6,1962,Y,1,1,3,TA,2010,160000
781,9000,1Story,2,1947,N,1,0,2,Fa,2009,63900
379,11088,1Story,6,1978,Y,2,0,3,TA,2009,184000
2818,17755,1Story,5,1959,Y,1,1,3,Fa,2006,149900
1168,4765,1Story,9,2000,Y,2,0,2,Ex,2008,300000
1396,10532,1Story,5,1960,Y,2,0,3,TA,2008,145000
838,15426,2Story,6,1997,Y,2,1,3,Gd,2009,231500
1492,13907,1Story,5,1940,Y,1,0,3,TA,2008,108000
637,8750,1Story,5,1956,Y,1,0,3,TA,2009,120000
1826,9945,1Story,5,1961,Y,1,0,3,TA,2007,128500
173,8960,1Story,5,1927,Y,1,0,2,TA,2010,115000
715,3500,1.5Fin,5,1947,Y,1,1,2,TA,2009,110000
1183,24572,2Story,9,1977,Y,2,2,3,Gd,2008,150000
2433,9056,2Story,8,2004,Y,2,1,3,Gd,2006,178000
2866,12320,2Story,7,1932,Y,1,1,3,Gd,2006,199500
2311,8238,2Story,6,1997,Y,2,1,3,TA,2006,183500
1551,6000,SLvl,5,1967,Y,1,1,3,TA,2008,126000
1049,2529,1Story,7,1977,Y,2,0,2,TA,2008,148500
657,10800,2Story,5,1939,Y,2,0,4,Gd,2009,149000
414,2349,2Story,6,1977,Y,2,1,3,TA,2009,137900
1181,10846,1Story,8,1993,Y,1,1,1,Gd,2008,324000
1514,5604,1Story,5,1925,N,1,0,2,TA,2008,98000
1040,1680,2Story,6,1973,Y,1,1,2,TA,2008,103400
216,6342,1.5Fin,5,1875,N,1,0,2,TA,2010,94000
1720,4590,1Story,8,2006,Y,2,0,2,Gd,2007,209500
2331,18062,2Story,10,2006,Y,3,1,5,Ex,2006,545224
204,12900,2Story,6,1912,Y,1,1,3,Gd,2010,159900
19,19138,1Story,4,1951,Y,1,0,2,TA,2010,141000
2438,8658,2Story,6,2000,Y,2,1,3,TA,2006,215000
89,6897,1Story,5,1962,Y,1,1,3,TA,2010,127000
240,9525,1Story,5,1954,Y,1,0,3,TA,2010,128000
105,12853,1Story,8,2010,Y,1,1,1,Gd,2010,267916
2020,6240,1.5Fin,6,1931,Y,1,0,3,TA,2007,127500
888,7301,SFoyer,7,2003,Y,3,0,4,Gd,2009,198500
1019,12090,1Story,6,1981,Y,2,0,3,Gd,2008,175500
2132,8826,2Story,7,2000,Y,2,1,3,Gd,2007,217500
203,8094,1.5Fin,4,1915,Y,1,1,4,TA,2010,149500
420,10710,1Story,5,1966,Y,1,0,3,TA,2009,148800
2333,16056,2Story,9,2005,Y,3,1,4,Ex,2006,556581
632,8400,1Story,6,1957,Y,1,1,3,TA,2009,156500
2800,11250,2Story,7,1995,Y,2,1,4,Gd,2006,237000
1885,7535,1Story,5,1958,Y,1,0,2,TA,2007,120000
1734,12216,1Story,6,2005,Y,2,0,3,Gd,2007,203000
2327,3701,1Story,8,1987,Y,2,0,2,TA,2006,130000
1282,9760,2Story,6,1964,Y,1,1,4,TA,2008,167900
2688,9873,1Story,4,1970,N,1,0,3,TA,2006,129000
2581,10011,1Story,5,1957,Y,1,0,2,Gd,2006,134450
2067,25339,1Story,5,1918,Y,2,0,3,Gd,2007,112000
2115,8883,2Story,7,1988,Y,2,1,3,Gd,2007,207000
754,3000,2Story,5,1922,N,2,0,4,TA,2009,62500
1079,2448,2Story,7,2003,Y,2,1,2,Gd,2008,154000
2615,7100,1Story,5,1957,Y,1,0,2,TA,2006,129900
329,2592,2Story,5,1976,Y,1,1,3,TA,2010,85000
1320,5700,1.5Fin,7,1926,Y,1,0,2,TA,2008,116900
416,2289,2Story,6,1978,Y,2,1,3,TA,2009,148500
284,12180,1.5Fin,4,1941,N,1,0,2,Fa,2010,80000
1385,7400,SFoyer,5,1984,Y,1,0,2,TA,2008,152000
275,8842,1Story,5,1954,Y,1,0,3,TA,2010,155891
2024,8850,1.5Fin,6,1920,Y,1,0,3,Gd,2007,165000
68,9215,1Story,7,2009,Y,2,0,2,Gd,2010,204500
1910,9480,2Story,5,1942,Y,1,1,3,Gd,2007,146500
381,11880,1Story,7,1978,Y,2,0,3,TA,2009,157000
1323,10800,2Story,7,1890,Y,2,0,5,TA,2008,184000
2432,7861,2Story,6,2002,Y,2,1,3,Gd,2006,183200
777,11616,1Story,5,1962,Y,1,0,3,TA,2009,139000
1107,10542,2Story,7,1993,Y,2,1,3,Gd,2008,341000
30,1680,2Story,6,1971,Y,1,1,2,TA,2010,96000
282,8546,1Story,4,2003,Y,2,0,2,TA,2010,140000
188,7407,1Story,6,1957,Y,1,0,2,TA,2010,149700
2356,10140,1Story,5,1975,Y,1,1,3,TA,2006,153500
1554,14584,1Story,1,1952,N,1,0,2,Fa,2008,13100
1464,8158,2Story,7,2003,Y,2,1,3,Gd,2008,224900
2469,7500,1Story,7,2005,Y,2,0,3,Gd,2006,176000
1834,10678,1.5Fin,8,1992,Y,2,1,4,Gd,2007,285000
1779,15256,1Story,8,2007,Y,2,0,3,Gd,2007,282922
2569,14200,2Story,7,1966,Y,2,1,4,Gd,2006,226000
2334,12438,2Story,8,2006,Y,2,1,4,Ex,2006,361919
2330,16023,2Story,9,2005,Y,3,1,3,Ex,2006,457347
2119,20064,1Story,8,1976,Y,0,1,0,Gd,2007,279000
988,9819,1Story,6,1977,Y,2,0,2,Gd,2009,196000
382,10400,1Story,7,1976,Y,2,0,3,TA,2009,152000
670,11643,2Story,5,1969,Y,2,2,6,TA,2009,200000
2760,11645,1Story,8,2005,Y,2,1,2,Ex,2006,294900
543,7328,1Story,7,2008,Y,2,0,2,Gd,2009,224243
2835,7822,1.5Fin,6,1915,Y,2,0,3,TA,2006,92000
1735,9018,2Story,7,2007,Y,2,1,3,Gd,2007,179540
448,13472,1Story,10,2003,Y,2,0,3,Ex,2009,386250
2287,1533,SLvl,4,1970,Y,1,0,2,TA,2007,106500
524,11003,2Story,10,2008,Y,2,1,3,Ex,2009,310000
1767,10790,2Story,7,1998,Y,2,1,4,Gd,2007,252000
2206,7128,2.5Unf,7,1941,Y,2,0,4,TA,2007,164000
1740,7713,2Story,7,2007,Y,2,1,3,Gd,2007,177594
199,6240,1.5Fin,5,1936,Y,1,0,2,TA,2010,123900
2214,22420,2Story,6,1918,N,2,1,4,TA,2007,239000
323,15300,1Story,5,1965,Y,1,0,2,TA,2010,169000
2421,3196,1Story,7,2003,Y,2,0,2,Gd,2006,234000
952,9360,SFoyer,6,1977,Y,1,1,2,TA,2009,173000
24,11241,1Story,6,1970,Y,1,0,2,TA,2010,149000
1139,9260,1Story,7,2007,Y,2,0,3,Gd,2008,170000
518,7993,1Story,7,2008,Y,2,0,3,Gd,2009,225000
1390,9239,1Story,5,1963,Y,1,0,3,Gd,2008,144900
277,10044,1Story,5,1968,Y,1,0,3,TA,2010,144000
54,3182,1Story,8,2004,Y,2,0,2,Gd,2010,192000
649,7626,1Story,5,1952,Y,1,0,2,Gd,2009,145500
2600,7008,1.5Fin,4,1900,Y,1,0,1,Fa,2006,86900
617,12160,1Story,6,1953,Y,1,0,2,TA,2009,149500
2209,6305,1Story,5,1938,Y,1,0,2,Fa,2007,119750
2814,8846,2Story,6,2005,Y,2,1,3,Gd,2006,173900
2542,10659,1Story,5,1961,Y,1,0,3,TA,2006,136500
2323,13108,2Story,8,1994,Y,2,1,4,Gd,2006,270000
1393,13500,1Story,6,1960,Y,1,0,1,TA,2008,235000
490,7750,SLvl,7,1999,Y,2,1,3,TA,2009,156000
542,12450,1Story,5,2003,Y,2,0,3,Gd,2009,153000
973,4500,1Story,6,1999,Y,2,0,2,TA,2009,165000
1012,11198,2Story,9,2005,Y,2,1,4,Ex,2008,325000
2218,6221,1.5Fin,5,1941,Y,2,0,3,TA,2007,140000
2033,13200,SLvl,6,1963,Y,3,0,5,TA,2007,202500
1071,8769,1Story,9,2008,Y,1,1,1,Ex,2008,367294
1583,10200,SLvl,6,1988,Y,2,0,3,Gd,2008,175000
2858,9550,2Story,7,1915,Y,1,0,3,Gd,2006,140000
2265,10331,1Story,7,1985,Y,2,0,3,Gd,2007,174000
1088,9587,SLvl,7,2005,Y,2,0,2,Gd,2008,190000
698,9900,2Story,5,1910,Y,2,0,3,TA,2009,129000
1896,22002,1Story,6,1959,Y,1,1,3,Gd,2007,200000
628,13000,2Story,6,1968,Y,2,1,4,Gd,2009,193500
1212,8250,1Story,6,1964,Y,1,0,3,TA,2008,145000
2864,8170,1.5Fin,7,1929,Y,2,0,4,TA,2006,218000
2740,12048,1Story,5,1952,Y,1,0,3,TA,2006,135000
2560,10858,1Story,5,1952,Y,1,0,2,TA,2006,146500
1716,7577,1Story,6,2005,Y,2,0,2,Gd,2007,194700
1130,7500,1Story,7,2007,Y,2,0,2,Gd,2008,230348
201,6120,1Story,6,1923,Y,1,0,2,TA,2010,109500
2886,23580,1Story,6,1979,Y,2,0,3,Fa,2006,242500
2328,5306,2Story,7,1987,Y,2,0,2,Gd,2006,239000
2583,8092,1Story,6,1954,Y,1,0,3,Gd,2006,156000
1206,8593,1Story,4,1957,Y,1,0,3,TA,2008,109008
2242,11067,1.5Fin,2,1939,Y,1,0,1,TA,2007,68104
1105,11929,2Story,8,1995,Y,2,1,4,Gd,2008,290000
121,9900,1Story,5,1966,Y,1,0,3,TA,2010,159000
1223,4882,2Story,4,1937,Y,1,0,2,TA,2008,87000
265,11423,1Story,8,2001,Y,2,0,3,Gd,2010,272000
2813,8772,1Story,7,2005,Y,2,0,3,Gd,2006,198000
1294,7628,1.5Fin,4,1940,Y,2,0,2,TA,2008,119164
2745,8335,1Story,5,1954,Y,1,0,3,TA,2006,93000
1094,8220,2Story,7,2000,Y,2,1,3,TA,2008,226750
651,10615,2Story,3,1900,Y,2,0,3,TA,2009,95000
198,6000,1.5Fin,6,1948,Y,1,1,3,TA,2010,139900
131,5350,1Story,3,1940,Y,1,0,3,Fa,2010,76500
1258,5400,1Story,4,1940,Y,1,0,2,TA,2008,86900
1599,17979,1Story,5,1968,Y,1,0,3,Gd,2008,152500
1508,9520,1Story,4,1953,Y,1,0,2,TA,2008,99000
615,5330,1Story,4,1940,Y,1,0,2,Fa,2009,82500
1815,8012,1Story,6,1992,Y,2,0,2,Gd,2007,179200
2712,9000,1Story,5,1966,Y,1,0,3,TA,2006,142500
2051,14299,1Story,4,1964,Y,1,0,3,TA,2007,115400
1863,7050,2Story,7,2001,Y,2,1,3,Gd,2007,226000
2510,3180,2Story,7,2005,Y,2,1,2,Gd,2006,144152
1069,16451,2Story,8,2003,Y,2,1,4,Gd,2008,370000
336,12887,1Story,5,1984,Y,1,0,2,Gd,2010,149900
2417,15578,2Story,6,2006,Y,2,1,3,TA,2006,172785
1962,7200,1Story,5,1950,Y,1,0,3,Gd,2007,129000
372,17043,1Story,6,1979,Y,2,0,3,TA,2009,181000
2578,10000,SLvl,5,1956,Y,1,0,3,TA,2006,148000
2824,8050,1Story,6,2002,Y,1,0,2,Gd,2006,117250
471,3182,1Story,7,2005,Y,2,0,2,Gd,2009,192500
1544,1950,2Story,6,1980,Y,2,1,3,TA,2008,151000
2141,7700,1Story,5,1972,Y,1,0,3,TA,2007,112500
2008,8731,1Story,5,1920,Y,1,0,3,TA,2007,144000
1075,8232,1Story,9,2007,Y,2,0,2,Ex,2008,370967
34,2280,2Story,6,1975,Y,2,1,3,Gd,2010,149900
847,8935,2Story,7,2002,Y,2,1,3,Gd,2009,195000
1629,9125,SLvl,7,1992,Y,2,1,3,Gd,2007,163900
2073,11075,1Story,6,1984,Y,2,0,3,TA,2007,182000
960,13438,1Story,9,2008,Y,2,0,3,Ex,2009,410000
955,11070,1Story,5,1991,Y,2,0,2,TA,2009,152000
2476,7800,2Story,7,2005,Y,2,1,3,Gd,2006,184000
1590,7060,SFoyer,7,1997,Y,2,0,2,TA,2008,206300
2913,11836,1Story,5,1970,Y,2,0,4,TA,2006,146500
149,8382,1.5Fin,4,1956,Y,1,0,3,TA,2010,108000
2525,10192,SLvl,7,1968,Y,3,0,4,Gd,2006,170000
1470,4426,1Story,6,2004,Y,1,0,1,Gd,2008,145000
412,2280,1Story,7,1975,Y,2,0,2,TA,2009,123000
1399,2887,1Story,6,1996,Y,1,0,2,Gd,2008,173000
183,8520,1Story,6,1928,Y,1,0,2,TA,2010,105900
974,1596,SLvl,4,1973,Y,1,0,2,TA,2009,91000
930,15600,1.5Fin,5,1949,N,2,0,3,Fa,2009,158000
881,9313,2Story,7,2004,Y,2,1,3,Gd,2009,190000
1180,11064,1Story,8,1995,Y,1,1,1,Gd,2008,217500
1553,9000,1.5Fin,5,1958,Y,2,0,4,TA,2008,165500
928,12000,2Story,7,1941,Y,1,1,3,Fa,2009,174500
1512,7692,SLvl,4,1954,Y,1,0,3,TA,2008,100000
3,14267,1Story,6,1958,Y,1,1,3,Gd,2010,172000
2140,9675,1Story,5,1975,Y,1,0,3,TA,2007,120000
553,8400,1Story,4,1950,Y,1,0,2,TA,2009,82000
2594,7500,1.5Fin,6,1947,Y,1,1,3,TA,2006,127000
1314,9600,2.5Unf,6,1917,N,1,1,3,TA,2008,129500
366,5814,1Story,8,1984,Y,1,0,1,Gd,2009,187500
1462,14860,1Story,8,2002,Y,2,0,3,Gd,2008,300000
2541,14803,2Story,6,1971,Y,2,1,4,TA,2006,190000
2088,7550,1.5Fin,4,1920,N,2,0,4,TA,2007,96000
527,8125,2Story,7,2006,Y,2,0,2,Gd,2009,241000
1824,13673,1Story,5,1962,Y,1,1,3,TA,2007,143900
2918,1533,2Story,4,1970,Y,1,1,3,TA,2006,87550
49,7658,1Story,9,2005,Y,2,0,2,Ex,2010,319900
2332,12292,2Story,9,2006,Y,2,1,4,Gd,2006,356383
826,11923,1Story,9,2007,Y,2,0,2,Ex,2009,239000
1108,10010,2Story,7,1993,Y,2,1,4,Gd,2008,287500
2041,12358,1.5Fin,5,1941,Y,1,1,2,TA,2007,128500
57,8577,2Story,7,2004,Y,2,1,3,Gd,2010,185088
520,8640,1Story,7,2008,Y,2,0,3,Gd,2009,229800
2305,10447,1Story,5,1984,Y,1,0,3,TA,2007,124500
2533,9600,1Story,5,1968,Y,1,0,3,TA,2006,142000
2852,4899,2Story,6,1920,Y,1,0,3,TA,2006,149000
1198,9246,1Story,5,1973,Y,2,0,4,TA,2008,135000
1681,4928,1Story,6,1976,Y,2,0,2,TA,2007,128000
1773,12692,1Story,8,1992,Y,3,0,4,Gd,2007,430000
1825,7476,1Story,5,1968,Y,1,1,3,TA,2007,145000
2208,5362,1.5Fin,5,1910,Y,2,0,3,TA,2007,139000
1646,12090,SLvl,6,1984,Y,3,1,3,TA,2007,178000
1060,12539,2Story,10,2005,Y,2,1,4,Ex,2008,460000
748,11888,2.5Unf,6,1916,N,2,0,5,Gd,2009,214500
2846,7082,2Story,5,1916,Y,2,0,5,TA,2006,160000
493,8755,2Story,7,1999,Y,2,1,3,Gd,2009,214000
694,4080,1.5Fin,6,1935,Y,1,0,3,Gd,2009,128900
2283,32463,1Story,4,1961,Y,1,0,3,TA,2007,168000
1800,12217,2Story,8,2007,Y,2,1,3,Ex,2007,310013
1632,3696,1Story,8,1986,Y,1,1,2,Gd,2007,170000
